Country,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
Scotland,Premier League,11/09/04,Celtic,Dundee,3,0,H,2,0,H,J Underhill,21,3,15,2,15,14,8,1,0,0,0,0,1.125,7.0,12.0,1.15,6.5,11.0,1.14,6.5,13.0,1.15,6.0,12.0,1.125,6.5,12.0,1.14,6.0,13.0,1.1,7.0,13.0,,,1.14,4.33,-0.5,1.86,1.98,-2.0,1.85,2.05,0.0
Scotland,Premier League,11/09/04,Dundee United,Aberdeen,1,1,D,0,1,A,S Dougal,9,7,6,3,14,14,6,3,1,3,0,0,2.25,3.25,2.75,2.25,3.3,2.75,2.45,3.1,2.65,2.4,2.9,2.7,2.2,3.25,2.75,2.3,3.2,2.75,2.5,3.1,2.5,1.9,1.79,2.08,1.75,-0.25,2.08,1.76,-0.25,2.05,1.85,-0.25
Scotland,Premier League,11/09/04,Dunfermline,Motherwell,1,1,D,1,0,H,C MacKay,12,12,5,6,8,12,3,8,0,0,0,0,2.3,3.2,2.7,2.35,3.15,2.7,2.25,3.2,2.8,2.1,3.1,3.0,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.85,1.85,2.0,1.8,-0.25,1.98,1.86,-0.25,2.0,1.9,-0.25
Scotland,Premier League,11/09/04,Inverness C,Hibernian,1,2,A,1,1,D,C Thomson,6,7,5,5,15,13,4,10,4,0,0,0,2.5,3.2,2.5,2.35,3.25,2.65,2.5,3.2,2.5,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.25,2.4,1.79,1.9,1.85,1.95,0.0,1.88,1.96,0.0,1.875,2.025,0.0
Scotland,Premier League,11/09/04,Livingston,Kilmarnock,0,2,A,0,0,D,K Clark,14,11,7,7,18,19,5,1,2,2,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.75,1.9,1.79,1.75,2.08,0.0,1.78,2.06,0.0,2.1,1.8,-0.25
Scotland,Premier League,12/09/04,Hearts,Rangers,0,0,D,0,0,D,D McDonald,10,7,5,3,22,21,4,7,3,3,0,0,5.5,3.6,1.615,4.5,3.5,1.65,5.0,3.4,1.62,4.8,3.5,1.55,5.0,3.5,1.571,5.5,3.4,1.57,5.0,3.5,1.57,1.79,1.9,2.0,1.8,0.75,1.98,1.86,0.75,2.0,1.9,0.75
Scotland,Premier League,18/09/04,Dundee,Livingston,0,0,D,0,0,D,H Dallas,6,3,2,2,15,14,3,5,1,2,1,1,2.1,3.25,3.2,2.0,3.2,3.35,2.05,3.2,3.2,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.25,2.2,3.1,2.87,1.95,1.75,1.8,2.0,-0.25,1.82,2.02,-0.25,1.9,2.0,-0.25
Scotland,Premier League,18/09/04,Kilmarnock,Aberdeen,0,1,A,0,0,D,C Richmond,6,5,1,4,9,12,5,4,0,1,0,0,2.25,3.4,2.75,2.2,3.2,2.9,2.3,3.1,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.3,3.2,2.75,2.4,3.1,2.6,1.85,1.85,1.8,2.0,0.0,1.72,2.12,0.0,1.8,2.1,0.0
Scotland,Premier League,18/09/04,Motherwell,Dundee United,4,2,H,0,1,A,I Brines,13,6,6,4,15,11,1,3,0,1,0,0,2.0,3.4,3.25,2.0,3.2,3.35,2.15,3.25,2.95,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,2.88,2.15,3.2,2.9,1.85,1.85,1.9,1.9,-0.25,1.94,1.9,-0.25,1.85,2.05,-0.25
Scotland,Premier League,19/09/04,Dunfermline,Hearts,1,0,H,0,0,D,M Ritchie,13,6,8,4,11,24,9,2,0,1,0,0,3.0,3.2,2.2,2.9,3.2,2.2,2.8,3.2,2.25,2.9,3.0,2.2,2.75,3.2,2.25,2.8,3.2,2.25,2.8,3.2,2.2,1.85,1.85,1.9,1.9,0.25,1.9,1.94,0.25,2.025,1.875,0.25
