Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Netherlands,Eredivisie,09/10/96,AZ Alkmaar,Sparta,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,Feyenoord,Groningen,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,NAC Breda,Utrecht,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,Nijmegen,Heerenveen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,Vitesse,Roda JC,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,Waalwijk,Volendam,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,11/10/96,For Sittard,PSV Eindhoven,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Graafschap,Vitesse,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Heerenveen,Sparta,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,NAC Breda,Twente,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Roda JC,AZ Alkmaar,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Utrecht,Ajax,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Volendam,Nijmegen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Waalwijk,Feyenoord,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/10/96,Willem II,Groningen,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,18/10/96,Nijmegen,Utrecht,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,19/10/96,AZ Alkmaar,Graafschap,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,19/10/96,Willem II,Heerenveen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,Ajax,Volendam,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,Groningen,For Sittard,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,PSV Eindhoven,Feyenoord,7.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,Sparta,Roda JC,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,Twente,Waalwijk,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/10/96,Vitesse,NAC Breda,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/10/96,Utrecht,Willem II,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/10/96,Feyenoord,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/10/96,Heerenveen,PSV Eindhoven,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/10/96,NAC Breda,Groningen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
