Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Scotland,Premier League,18/12/99,Motherwell,Rangers,1.0,5.0,A,0.0,3.0,A,,,,,,,,,,,
Scotland,Premier League,19/12/99,Hearts,Hibernian,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/12/99,Rangers,Hearts,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Aberdeen,Dundee United,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Celtic,Rangers,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,27/12/99,Dundee,St Johnstone,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,27/12/99,Hibernian,Kilmarnock,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/01/00,Dundee United,Hibernian,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,22/01/00,Hearts,Dundee,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/01/00,Rangers,Aberdeen,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/01/00,St Johnstone,Motherwell,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,23/01/00,Kilmarnock,Celtic,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,26/01/00,Aberdeen,Motherwell,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,26/01/00,Dundee,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,02/02/00,Dundee United,Rangers,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,05/02/00,Aberdeen,St Johnstone,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,05/02/00,Celtic,Hearts,2.0,3.0,A,2.0,1.0,H,,,,,,,,,,,
Scotland,Premier League,05/02/00,Motherwell,Dundee,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/02/00,Hibernian,Rangers,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/02/00,Dundee,Celtic,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/02/00,Kilmarnock,Motherwell,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,15/02/00,St Johnstone,Rangers,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,22/02/00,Motherwell,Kilmarnock,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,22/02/00,St Johnstone,Hibernian,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,23/02/00,Dundee,Aberdeen,1.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,26/02/00,Aberdeen,Hibernian,4.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,26/02/00,Hearts,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,26/02/00,St Johnstone,Dundee United,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,27/02/00,Dundee,Rangers,1.0,7.0,A,1.0,6.0,A,,,,,,,,,,,
Scotland,Premier League,01/03/00,Celtic,Dundee,6.0,2.0,H,5.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,01/03/00,Motherwell,Hearts,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,04/03/00,Dundee United,Hearts,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,04/03/00,Kilmarnock,Dundee,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
